label,prediction,filtered_body,reason
0,1,"[ali,show,realli,someth,amaz,stupid,wannab,rapper,one,interview,notic,pretend,sasha,cohen,actual,intellig,guy,pretend,stupid,could,get,realli,honest,answer,peopl,funni,didnt,expect,movi,good,caus,act,real,peopl,interview,basic,point,show,lost,wrong,laugh,time,one,funniest,film,ever,saw,sure,stupid,care,cant,actual,brake,safe,car,batteri,like,someon,said,wasnt,suppos,realist,documentari,isnt,like,show,goe,total,differ,way,doesnt,mean,bad,finish,watch,total,impress,time,pass,realiz,special,anyway,still,deserv,nine,well,least,suppos]",conflicting
0,1,"[wrote,friend,earlierholi,crap,grudg,honest,god,one,scariest,film,ive,ever,seen,either,get,soft,old,age,sam,raimi,ghost,pictur,kick,job,cant,wait,boogeymani,scare,sit,dark,theater,wish,someon,anyon,sit,next,except,protagonist,grudg,saw,movi,swear,mani,mani,jump,scene,expect,felt,foolish,nerv,care,edg,entir,movi,open,credit,music,fantast,scari,keep,think,sound,though,like,iti,actual,gasp,aloud,time,cri,one,scene,yeah,even,halfcov,eye,time,word,wise,though,thought,scene,littl,psychot,hate,event,horizon,thought,whoever,wrote,sick,psycho,dont,rememb,movi,cant,comparei,cant,say,enjoy,movi,terrifi,good,scari,end,scene,toowhoa,think,may,nightmar,movi,especi,sound,pleas,get,head,summari,slasher,flick,like,grew,jason,freddi,mostofthetim,spooki,movi,perfect,halloweentwo,great,trailer,movi,boogeyman,ring]",conflicting
0,1,"[pretti,obscur,dumb,horror,movi,set,everglad,realli,stupid,lame,first,half,actual,start,get,good,last,half,scene,hero,run,save,friend,interspers,shot,church,group,sing,dont,know,mesmer,impress,night,time,scene,actual,look,like,night,unlik,low,budget,horror,film,still,look,like,daytim,feel,like,director,realli,talent,work,miniscul,budget,tough,schedul,scene,toward,end,one,mention,also,end,credit,extrem,cool,movi,could,genuin,classic,left,scoobi,doo,convent,behind,went,straight,throat,surpris,good,movi,turn,couldnt,take,eye,ask]",conflicting
0,1,"[enjoy,albert,pyun,nemesi,cheesi,action,semicompl,script,lot,peopl,complain,confus,plot,first,film,probabl,nemesi,nebula,dumb,rock,plot,superact,carri,throughthi,one,give,name,first,movi,hero,alex,bulk,superfemal,sent,past,save,futur,rais,tribe,africa,good,portion,film,dialogu,african,tongu,without,subtitl,like,made,seem,somewhat,authent,often,movi,genr,realli,tri,doesnt,take,long,evil,cyborg,time,travel,back,time,find,tri,kill,herdont,get,wrong,piec,crap,first,one,anyth,great,subplot,involv,africa,polit,unrest,treasur,hunt,tribal,combat,pictur,short,brain,none,thing,get,good,treatment,pictur,basic,drawn,fight,chase,boil,musclebab,cyborg,entertain,valu,dont,expect,qualiti,anyth,first,movi]",conflicting
0,1,"[love,bad,movi,often,entertain,realli,good,film,like,pirat,caribbean,seri,hollywood,patho,often,far,better,film,that,reason,love,italian,rip,cinema,that,reason,especi,love,movi,barbarian,companydirector,ruggero,deodato,made,actual,good,movi,like,hous,edg,park,also,atlanti,interceptor,live,like,cop,die,like,man,enjoy,action,movi,realli,bad,barbarian,idiot,movi,peter,david,paul,barbarian,brother,kutchek,gore,funni,lack,charisma,act,skill,cant,act,yell,scream,everi,time,someth,import,one,scene,peopl,tri,hang,barbarian,brother,escap,extraordinari,waybad,act,bad,special,effect,stupid,stori,bad,direct,actual,everyth,bad,movi,cant,describ,much,laugh,watch,first,time,barbarian,compani,camp,classic,everybodi,see,thought,plan,outer,space,fun,camp,real,killer]",conflicting
0,1,"[saw,begotten,last,night,two,mind,filmon,one,hand,appreci,total,invert,michael,bay,film,dialogu,extrem,styliz,graini,photographi,genuin,horrif,imageri,ever,set,film,compel,use,sound,nobodi,els,seem,realli,pick,yet,reflect,theme,dare,filmmak,term,imag,product,concept,movi,peopl,dont,understand,read,comment,youll,find,lot,peopl,whose,lack,abil,figur,film,result,shriek,pretenti,fervor,gibbon,rattl,bar,cage,feed,time,genuin,shock,disturb,last,time,film,manag,agoon,thirtyminut,short,sprawl,hour,half,understand,might,artist,merit,use,repetit,monolith,pace,bludgeon,case,doesnt,help,everyth,hang,togeth,imagin,approach,rag,man,street,grabi,shoulder,say,someth,complet,confound,core,instead,leav,shatter,gibber,wake,keep,talk,talk,talk,end,movi,found,glanc,watch,entertain,peopl,disentertain,deprogram,peopl,watch,glitter,watch,movi,entertain,frustrat,confound,possibl,anger,dont,approach,begotten,like,chocol,cake,want,eat,tast,good,approach,like,someth,menu,never,heard,someth,see,furtiv,glanc,kitchen,door,someth,that,dark,glisten,twitch,platter,someth,order,tast,good,know,like]",weak
0,1,"[dont,let,rate,write,fool,one,excel,filmi,fathom,got,rate,consid,solid,level,direct,act,cinematographyal,good,stori,interest,origin,inkl,far,understand,rate,sit,fact,probabl,type,movi,peopl,rate,might,normal,seei,equat,play,modern,rock,year,old,might,young,brought,love,product,differ,time,tastedoesnt,care,itif,like,film,handl,movi,base,real,peopl,versus,compris,mindless,action,enorm,flashi,budget,mediocr,talent,give,one,tri,next,time,see]",weak
0,1,"[movi,good,one,like,watch,horror,movi,recommend,act,good,although,thought,actress,play,juli,could,emot,behind,line,allan,good,thought,cinematographi,amaz,edg,seat,entir,time,friend,freak,scream,complet,success,opinion,made,big,screen,give,two,thumb,definit,would,say,havent,alreadi,seen,rent,seen,didnt,like,watch,part,complet,unreal,also,like,lot,movi,film,around,school,campus]",weak
0,1,"[saw,film,via,one,actor,agent,sure,conform,great,deal,come,sth,australia,term,overal,tone,right,dark,moodyi,thought,littl,boy,film,excel,most,kid,actor,ham,embarrass,case,realli,good,term,surreal,thingi,mention,jingo,well,think,film,plain,weird,real,weirdo,film,weirdo,locat,storylin,weird,stuff,go,whole,time,good,weird,oppos,badit,hard,think,movi,like,like,car,ate,pari,mayb,like,repuls,actual,think,like,hammer,movi,certain,interest,mind,work,behind,itjingo,question,also,titl,modern,love,anyon,also,jingo,mean,god,forsaken,talk,australia,hmmm,curious]",conflicting
0,1,"[wander,blockbust,friend,night,decid,broke,lazi,activ,decid,want,watch,closer,seem,like,repel,idea,rent,anoth,film,shed,gone,bed,look,around,didnt,see,much,interest,saw,doll,master,new,releas,section,base,cover,sleev,woman,dolllik,face,cri,tear,blood,thought,would,interest,enough,renta,film,watch,almost,empti,hous,light,turn,pretti,scari,must,admit,ive,alway,bit,phobia,doll,sinc,kid,watch,aw,film,call,asylum,one,stori,involv,mental,patient,creat,doll,kill,peopl,lame,scari,time,first,three,quarter,film,realli,hit,spot,first,half,hour,particular,awesom,creepi,forebod,atmospher,realli,set,scene,well,without,move,doll,seem,genuin,threaten,unfortun,soon,start,move,got,bit,cheesi,bit,disappoint,moment,could,genuin,frighten,made,laugh,way,filmeda,charact,horror,film,your,realli,expect,anyth,memor,found,rememb,name,face,better,asian,horror,film,ive,seen,suggest,must,hidden,charact,develop,didnt,conscious,notic,typic,stereotyp,forc,movi,one,kind,charact,quirk,set,apart,other,shi,quiet,yeongha,doll,damien,outgo,bimbo,seonyeongth,plot,fair,cool,even,though,end,bought,togeth,mani,loos,strand,plot,seem,bit,confus,didnt,realli,anyth,although,coupl,realli,cool,plottwist,wont,ruin,basic,plot,bunch,kid,invit,model,doll,famous,reclus,old,doll,maker,stay,creepi,hous,adorn,scari,doll,big,small,thing,start,happen,heroin,haemi,start,explor,area,hous,thing,start,happen,inhabitantsoveral,would,definit,recommend,film,watch,mani,peopl,moment,would,probabl,make,laugh,surround,friend,someth,watch,dark,window,door,open,bit,case,doll,feel,like,watch,realli,leav,guess,film,allow,wild,conspiraci,theori,complet,destroy,later,realli,get,ignor,cheesi,place,guarante,youll,check,bed,sleep,mayb,even,leav,light,onor,mayb,that,closer,prefer]",conflicting
