review,sentiment
"Eddie Brock gets a chance to interview Cletes Kasady (Woody Harrelson) abused as a child and serial killer as an adult. In looking at the graffiti on his cell walls, Venom is able to figure out where the bodies are buried. The death penalty is reinstated as Cletus head for lethal injection. Cletus also has a love interest in Francis Barrison (Naomie Harris) aka ""the shriek: because of her high pitch deadly voice. On Brock's final visit to Cletus, he infects the serial killer with a piece of Venom which turn him into Carnage who goes on a rampage of revenge.I didn't like this as much as the first film. The climax fight scene had multiple sides and lasted an inane amount of time with equally inane action. I guess this is what audiences' want. I liked seeing Woody not acting old. I thought someone like Octavia Spencer would have made an interesting Francis Barrison.Guide: 1 F-word. No sex or nudity unless you notice that Venom doesn't wear pants.",positive
"If you had issues with the first one and the (low) level of violence it had (PG13 and all that), do not expect this to be any better. This also is PG13. Since I am not too aware of Venom as he was depicted in the comics, I was free of that and quite enjoyed the first one.And while the bonus scene in the end credits of the first Venom movie hinted at Woody Harrelson being the main bad guy in this one (with a now different look for no reason I can think of), he is quite underused to be honest. The main focus of the movie relies on the relationship of Venom and Tom Hardys character. The side story is the love story between Harrelsons character and a woman with an ability ... that should open quite a few doors emotionally and otherwise, but never gets fully explored ... because people have to fight and CGI and all that.So the human drama only works between Hardy and Venom - everything else (even the cop) are side notes at best. Having said all that, the movie works if you don't mind those things too much and cut it some slack. It still feels like a step back from the previous entry.That is until the ending. And I don't mean the end fight (although the CG is quite stunning all things considered) ... I am talking about the bonus scene in the credits. I am not going to tell you what happens and I really hope you can watch it without knowing. As with the looking into the future that the first Venom had in store for us ... this does too! But with quite the promise ... although depending on how you feel about ... certain things you may feel different than me. Still it has to be seen to be believed! Oh the hype is real - and that bonus scene almost made me give this a bigger/higher rating too ...",positive
"The first film was an okay anti-superhero spin-off movie from Marvel for the famous enemy of Spider-Man, I didn't expect very much from the follow-up, but I was up for going to see it anyway, directed by Andy Serkis. Basically, in the opening flashback, in 1996, young Cletus Kasady (Jack Bandeira) is helplessly separated from his love, Frances Barrison (Olumide Olorunfemi), who has the ability of sound manipulation, when she is taken away from St. Estes Home for Unwanted Children to the Ravencroft Institute. On the way, Barrison uses her sonic scream powers to escape and attacks young police officer Patrick Mulligan (Sean Delaney). The officer shoots Barrison in the eye and her scream causes an injury to his ear, he assumes she is dead, but is taken to a facility with sound-proof walls. In the present, Detective Mulligan (Stephen Graham) contacts investigative journalist Eddie Brock (Tom Hardy) to speak to serial killer Kasady (Woody Harrelson), who refuses to talk to anyone other than Brock following their interview a year ago. Brock, still living with alien symbiote Venom, has his career boosted by Venom figuring out where Kasady's murder victims bodies' are hidden. Brock later meets his ex-fiancée Anne Weying (Michelle Williams) who tells him that she is now engaged to Dr. Dan Lewis (Reid Scott), much to Venom's displeasure. Kasady was previously found guilty of his crimes and sentenced to death by lethal injection; he invites Brock over to San Quentin State Prison to attend his execution. Meeting on death row, Kasady provokes Venom, with numerous insults directed at Brock. Kasady bites Brock's hand, ingesting a small part of the symbiote. Back home, Venom and Brock argue as the alien wants more freedom and to eat bad people, and their fight ends with the symbiote detaching from his body. During Kasady's execution, the red symbiote emerges and blocks the injection, and infecting the criminal's body goes on a violent rampage through the prison, freeing inmates and killing guards. The red symbiote, calling itself Carnage, makes a deal with Kasady, to help him break out Barrison aka Shriek (Naomie Harris) from Ravencroft, and Kasady will help him eliminate Brock and Venom. Mulligan calls Brock and warns him about the situation. In Ravencroft, Kasady frees Barrison, they embrace and travel to their old children's home to burn it down. Mulligan, suspicious of Brock due to his interactions with Kasady before his escape, takes Brock to the police station. Brock refuses to answer Mulligan's questions and contacts Weying as his lawyer. Brock reveals that Venom has separated from him and needs him back to fight Carnage together. Venom has made his way to San Francisco, hopping from body to body, and is embracing his freedom. Eventually Weying finds him and bonds with him, after convincing him to forgive Brock, as the head to break Brock out of the police station. Brock and Venom make amends and reform. Kasady takes Mulligan hostage, and Barrison, failing to find Brock, kidnaps Weying. Lewis was given a message from Barrison about their whereabouts, to give to Brock, as they plan to get married at a cathedral. There, Venom appears and fights Carnage, holding his own against his spawn, who has strong disagreements with Kasady. Barrison seemingly kills Mulligan by hanging, and Venom is eventually overpowered brutally by Carnage, who decides to kill Weying at the top of the cathedral. But Venom regains his strength and saves Weying and provokes Barrison to use her powers, as her sonic blast causes both symbiotes to separate from their hosts. This causes the cathedral to collapse and Barrison falls to the ground and is killed by a falling bell. Venom saves Brock by bonding with him before the impact. Carnage tries to bond with Kasady again, but Venom devours the symbiote. Kasady says that he only wanted to be Brock's friend, but Venom bites Kasady's head off. While Brock, Venom, Weying, and Lewis escape, Mulligan is still alive, his eyes flash blue. Brock and Venom decide to take a vacation while they think about what will happen next. As Venom tells Brock about other universes, a blinding light transports them from their hotel room to another room, and they watch a news report with J. Jonah Jameson (J. K. Simmons) revealing the identity of Spider-Man as Peter Parker (Tom Holland), to which Venom takes an interest. Also starring Peggy Lu as Mrs. Chen, Sian Webber as Dr. Pazzo and Reece Shearsmith as Priest. Hardy is likeable as both the ordinary reporter and the amusingly snarly being in his body, Harrelson has fun being the camp villain, Harris is interesting if perhaps underwritten, and Graham doesn't do much. As with the original film, the special effects are brilliant to propel the fast-paced chase, fight and explosive sequences and bring to life unworldly creatures, it has great comedic sparring with no-holds-barred language, it is a warped buddy movie style story that works the slightest bit better than its predecessor, predictable and flimsy at times, but a reasonable superhero fantasy action horror. Worth watching!",positive
"The story is pretty engaging, and the visual effects are phenomenal. There's comedy in the symbiosis. The story offers much tension too. I enjoyed it more than I expected.",positive
"I was really looking forward to this. I enjoyed the first one and the trails for this sequel looked fun... What happened? It is all over the place. It starts off promisingly enough with an enjoyable set piece with ""Eddie"" (Tom Hardy) and Michelle Williams (""Anne"") - aided by some pithy one-liners from an unseen ""Venom"" but after we are introduced to ""Cletus"" (Woody Harrelson) the thing really hits the skids. The entertaining elements from the first film, the humour and - dare I say it, the symbiotic relationship/tolerance of man and amoeba are thrown under the bus for this angry CGI fest. Add to this pretty dry mix the rather pointless character of Harrelson's childhood sweetheart ""Frances"" (Naomie Harris) alias ""the Scream"" (remember the symbiotes don't like fire of sound), with her own agenda against copper ""Mulligan"" (Stephen Graham) and the whole thing just boils down to a very good looking film - but one with a plot that was almost non-existent, and that robbed the formidably sarcastic ""Venom"" of much of the charm that made the original work. Come to think on it - Hardy hardly features at all. I didn't hate it - it has a pace that passes 90 minutes effortlessly enough, but sorry, I was really disappointed.",negative
"Eddie Brock(Hardy, still delivering on the physical, living up to his namesake(as in ""Laurel and""), and loving playing Venom) wants to rebuild his career, so it doesn't take much to convince him to meet with imprisoned serial killer Cletus Kasady(Harrelson, who ""Knox"" it out the park). Maybe he can help find the remaining missing bodies? Unfortunately, this leads to... Carnage.This is at least as big of a mess as the first one was. It's less ironically fun, because this time it's on purpose. Then again, it is also substantially more enjoyable for that same reason. It's been a long time since I've seen something that had such wild writing. Try to go in knowing as little as possible. You will definitely not guess the places it goes. The comedy is much more successful, with the highlights being Ms Chen(Lu, master of the deadpan. Please give her a spin-off. You don't even have to take her out of her convenience store. Have her just react to bizarre things that happen right in front of her) and Anne(Williams, way more into it this time, which is definitely in part down to the incredible material they give her). It's hard to overstate how hilarious these two are. The action and CG is a lot better. If all you really want out of this is to see these iconic characters in live action, it will deliver on that. If you can roll with how ridiculous it is, as I did, you will be extremely entertained. If you cannot, this is going to exhaust you, and that is the only way that the 88(!) minute running time(if you don't count the end credits, and since those have only one additional scene(which is mindblowing), and it comes soon after they start running, you might as well leave the moment you've seen that one. The cinema staff will be grateful for it) won't fly by, to the point that it'll seem like you just sat down and then the movie ended. In fact, in that case, it will probably feel twice as long as it is, if not more.This features disturbing content, with a lot of implied violence and gore. I recommend this to anyone who thinks it will be their kind of thing. 7/10.",positive
"Eddie Brock is secretly hosting alien symbiote Venom. In practice, this means getting his apartment trashed regularly while trying to persuade his roomie to eat live chickens rather than bite peoples heads off. When he interviews serial killer Cletus Cassidy, a smidgen of symbiote combines with Cassidy to create pyscho-super-alien Carnage. And Cassidy's mutant girlfriend adds complications...I came out of the first Venom movie confused by its combination of violence, brutality, superheroics, and humour. This time I knew what to expect, and found myself laughing out loud quite often - much of the dialogue between Eddie and Venom is very funny, and Mrs Chen is an utter hoot.The film progresses along largely predictable lines, with lots of action and effects, mostly very well done (there are aome moments where it looked as if they ran out of time to complete the effects). There is plenty of scope for continuing the (sub)-franchise, especially given Tom Hardy's wholehearted and enthusiastic involvement (co-producer and story material). In fact, everyone looks to be having a ball.And, of course, the mid-credits scene is a real teaser!",positive
"I was thoroughly disappointed with ""Venom: Let There be Carnage"". It was such a botched job from the beginning I wonder what was the thought process behind it.The movie begins with a scene from 1996 at an orphanage or some such place. A girl named Frances Barrison was removed from there because her powers had become too dangerous. In short order we find that she has powers similar to Banshee in that her scream is loud enough to cause damage. Her forcible removal from the institution drove her soulmate, Cletus Kasady, mad.We fast-forward to present day and Eddie Brock (Tom Hardy) is single again. Apparently, things didn't work out between him and Anne (Michelle Williams). That part was fine, but what wasn't was the new Chatty Cathy Venom we had to endure. Here is this sinister, brain-eating, alien symbiote that wants to be a comedian ALL THE TIME. It was flat out amazing how much Venom talked, and not in a good way. He doesn't have the voice for comic relief, yet that's what he was attempting to be and he was failing miserably. But Venom's attempts at stand-up paled in comparison to the fat-fingered manner in which they brought about Venom's antagonist Carnage.Present day Cletus Kasady (Woody Harrelson) was a condemned man.And if I could just sidebar for a second: casting sixty-year-old Woody Harrelson as the antagonist in this movie was such a terrible choice. He was supposed to be fifty at the absolute oldest and he looked terrible in the hairpiece and flashy clothing.OK, back to the story. Cletus was such a prolific killer, the governor reversed the moratorium on the death penalty especially for him. Before his execution date, Cletus wanted to get a message to Frances (Naomie Harris) who was serving time in a cell specially made for her and her powers. Cletus promised Eddie a full story if he would print one simple message on the front page of his paper. Eddie agreed because a full story from an infamous serial killer is career-making. When Eddie visited with Cletus Venom was able to gather a few visual clues to help Eddie find all of Cletus's buried victims without a word from Cletus. This propelled Eddie to newspaper stardom and sealed Cletus's fate. In this very elementary way Eddie became Cletus's nemesis.Cletus wanted to see Eddie one last time before his execution to antagonize him for unearthing his secrets. Somehow, through knowledge Cletus divined from thin air, Cletus began ridiculing Eddie on a personal level that would require a fairly intimate knowledge of Eddie's past. This level of ridicule triggered Venom and he attacked Cletus. Cletus then grabbed Eddie's hand and bit him hard enough to draw blood. That blood, now on Cletus's lips, had enough alien matter in it to be the key ingredient for what happened next.When Cletus was pumped full of the lethal injection cocktail it mixed with his small bit of alien essence and created Carnage; an alien symbiote even more powerful than Venom. Carnage then made a grand exit from San Quentin Prison and we now had a CGI battle between two aliens that could not have been more forced.Let me recap: Frances aka Screech separated from Cletus. Cletus becomes a homicidal maniac. Cletus bites Eddie because he's that crazy. Eddie's blood with a small amount of alien matter is now in Cletus. Cletus gets injected with lethal cocktail and becomes Carnage. Venom fights Carnage to the death.This is a story that maybe gets a fifth grader an A, but a high-schooler an F. This is not the sort of shoddy movie-making I expect from Marvel, even if this isn't part of the MCU.",negative
"When we got to the climax and it felt like the movie just breezed by, I immediately added another star to my rating. A short super(anti)hero movie? AMAZING!Venom: Let There Be Carnage isn't a great movie and has ALL the clichés of most superhero movies, but it was enjoyable. I found myself laughing a lot at Venom's one-liners and again, I enjoyed how SWIFT this movie was. That was refreshing.Despite some exposition, this is one of those sequels YOU MUST see the first one to understand this universe. And that's too bad. I rated the first one 2/5 stars and didn't care for it much. This is absolutely the better of the two.Eddie Brock & Co. - or the alien symbiote, Venom - are still fighting over superiority when they have a break-up. Simultaneously, the guy who used to bartend at Cheers turns into both a supervillain and Venom's greatest foe. Will Eddie make up with Venom in time to stop the Carnage?Yes, this movie has the age-old Superhero trope I hate so dearly: ""I don't wanna be a superhero anymore! I quit!"" usually found in the second chapter. Superman II did it, The Dark Knight did it, Iron Man 2 did it, hell, Spider-Man 2 did it, just to name a few of hundreds of examples. I hate it with a passion. So, when it happened here, I tried to remain calm. Mercifully, when Venom's on his own, he does have some fantastic and hilarious scenes. This one gets a pass because we hardly ever get to see the other side of this equation. All we usually get is the whiney non-superhero.That and some of the lazy writing's are probably the most problems of this. Everything else was fine or actually good. No one was terrible and the special effects were 10x better than the original. Recommended.***Final Thoughts: My friend with me said: We have to wait for the mid-credit scene. The second he told me that, I knew 100% who was showing up. Despite that, listen to my friend. You need to see it.",positive
"I had a good time with this movie. It's fun and pretty funny with some entertaining action.It's also very messy with regards to the story, action and dialogue. The action isn't as good as the first. The story brings no value. And there were some stupid moments.I also can't stand that it's not rated R. I could say that about the first, but it did a great job of pushing the limits while also not having too many moments where it was obvious it would have been better with blood. This movie has SOOO many moments where it could have been amazing if they went all out. It felt so censored.I try to always have no expectations going into a movie. And i knew going in that even though i loved the first one, that doesn't make this one bulletproof. But looking back on it, a movie about carnage could have been so much more. It was underwhelming. Also i wish i got more development from cleetus and carnage.One more thing, tom hardy and andy serkis are awesome. But writing and directing are talents that very few have. I think it shows here and i would have preferred veterans at those crucial positions.I'll caveat this review by saying i couldn't understand a lot of the dialogue, especially from venom. We'll see if that changes anything when i watch it with subs. (1 viewing, 9/30/2021)",positive
